par_4_64,AVENIDA DE AMERICA
par_4_83,NUÑEZ DE BALBOA
par_4_31,PRINCIPE DE VERGARA
par_4_173,IBIZA
par_4_114,SAINZ DE BARANDA
par_4_175,ESTRELLA
par_4_176,VINATEROS
par_4_177,ARTILLEROS
par_4_178,PAVONES
par_4_179,VALDEBERNARDO
par_4_180,VICALVARO
par_4_181,SAN CIPRIANO
par_4_182,PUERTA DE ARGANDA
par_4_183,RIVAS URBANIZACIONES
par_4_300,RIVAS FUTURA
par_4_184,RIVAS VACIAMADRID
par_4_185,LA POVEDA
par_4_284,HOSPITAL INFANTA SOFÍA
par_4_283,REYES CATOLICOS
par_4_282,BAUNATAL
par_4_281,MANUEL DE FALLA
par_4_280,MARQUES DE LA VALDAVIA
par_4_279,LA MORALEJA
par_4_278,LA GRANJA
par_5_63,PUERTO NAVACERRADA
par_4_276,LAS TABLAS
par_4_275,MONTECARMELO
par_4_274,TRES OLIVOS
acc_4_10_35,Fuencarral
par_4_188,BEGOÑA
par_4_261,CHAMARTIN
par_4_1,PLAZA DE CASTILLA
par_4_191,CUZCO
par_4_192,SANTIAGO BERNABEU
par_4_120,NUEVOS MINISTERIOS
par_4_142,GREGORIO MARAÑON
par_4_57,ALONSO MARTINEZ
par_4_10,TRIBUNAL
par_4_50,PLAZA DE ESPAÑA
par_4_127,PRINCIPE PIO
par_4_199,LAGO
par_4_200,BATAN
par_4_103,CASA DE CAMPO
par_4_202,COLONIA JARDIN
par_4_257,AVIACION ESPAÑOLA
par_4_203,CUATRO VIENTOS
par_4_204,JOAQUIN VILUMBRALES
par_4_108,PLAZA ELIPTICA
par_4_207,ABRANTES
par_4_208,PAN BENDITO
acc_4_90_247,San Francisco
par_4_255,CARABANCHEL ALTO
par_4_256,LA PESETA
par_4_205,PUERTA DEL SUR
par_4_210,PARQUE LISBOA
par_4_211,ALCORCON CENTRAL
par_4_212,PARQUE OESTE
par_4_213,UNIVERSIDAD REY JUAN CARLOS
par_4_214,MOSTOLES CENTRAL
par_4_215,PRADILLO
par_4_216,HOSPITAL DE MOSTOLES
acc_4_9_30,Manuela Malasaña
par_4_218,LORANCA
par_4_219,HOSPITAL DE FUENLABRADA
par_4_220,PARQUE EUROPA
par_4_221,FUENLABRADA CENTRAL
par_4_222,PARQUE DE LOS ESTADOS
par_4_223,ARROYO CULEBRO
par_4_224,CONSERVATORIO
par_4_225,ALONSO DE MENDOZA
par_4_226,GETAFE CENTRAL
par_4_227,JUAN DE LA CIERVA
par_4_228,EL CASAR
par_4_229,LOS ESPARTALES
par_4_230,EL BERCIAL
par_4_231,EL CARRASCAL
par_4_232,JULIAN BESTEIRO
par_4_233,CASA DEL RELOJ
par_4_234,HOSPITAL SEVERO OCHOA
par_4_235,LEGANES CENTRAL
par_4_36,OPERA
