PINAR DE CHAMARTIN,BAMBU
GARCIA NOBLEJAS,ASCAO
ASCAO,PUEBLO NUEVO
PUEBLO NUEVO,BARRIO DE LA CONCEPCION
BARRIO DE LA CONCEPCION,PARQUE DE LAS AVENIDAS
PARQUE DE LAS AVENIDAS,CARTAGENA
CARTAGENA,AVENIDA DE AMERICA
AVENIDA DE AMERICA,GREGORIO MARAÑON
GREGORIO MARAÑON,ALONSO CANO
ALONSO CANO,CANAL
CANAL,ISLAS FILIPINAS
ISLAS FILIPINAS,Guzmán el Bueno
Guzmán el Bueno,FRANCOS RODRIGUEZ
FRANCOS RODRIGUEZ,VALDEZARZA
VALDEZARZA,ANTONIO MACHADO
ANTONIO MACHADO,PEÑAGRANDE
PEÑAGRANDE,AVDA. DE LA ILUSTRACION
AVDA. DE LA ILUSTRACION,LACOMA
LACOMA,ARROYOFRESNO
ARROYOFRESNO,PITIS
NUEVOS MINISTERIOS,COLOMBIA
COLOMBIA,PINAR DEL REY
PINAR DEL REY,MAR DE CRISTAL
MAR DE CRISTAL,FERIA DE MADRID
FERIA DE MADRID,AEROPUERTO T1 T2 T3
AEROPUERTO T1 T2 T3,BARAJAS
BARAJAS,AEROPUERTO T4
PACO DE LUCIA,Mirasierra
Mirasierra,HERRERA ORIA
HERRERA ORIA,BARRIO DEL PILAR
BARRIO DEL PILAR,VENTILLA
VENTILLA,PLAZA DE CASTILLA
PLAZA DE CASTILLA,DUQUE DE PASTRANA
DUQUE DE PASTRANA,PIO XII
PIO XII,COLOMBIA
COLOMBIA,CONCHA ESPINA
CONCHA ESPINA,CRUZ DEL RAYO
CRUZ DEL RAYO,AVENIDA DE AMERICA
AVENIDA DE AMERICA,NUÑEZ DE BALBOA
NUÑEZ DE BALBOA,PRINCIPE DE VERGARA
PRINCIPE DE VERGARA,IBIZA
IBIZA,SAINZ DE BARANDA
SAINZ DE BARANDA,ESTRELLA
ESTRELLA,VINATEROS
VINATEROS,ARTILLEROS
ARTILLEROS,PAVONES
PAVONES,VALDEBERNARDO
VALDEBERNARDO,VICALVARO
VICALVARO,SAN CIPRIANO
SAN CIPRIANO,PUERTA DE ARGANDA
PUERTA DE ARGANDA,RIVAS URBANIZACIONES
RIVAS URBANIZACIONES,RIVAS FUTURA
RIVAS FUTURA,RIVAS VACIAMADRID
RIVAS VACIAMADRID,LA POVEDA
LA POVEDA,ARGANDA DEL REY
HOSPITAL INFANTA SOFÍA,REYES CATOLICOS
REYES CATOLICOS,BAUNATAL
BAUNATAL,MANUEL DE FALLA
MANUEL DE FALLA,MARQUES DE LA VALDAVIA
MARQUES DE LA VALDAVIA,LA MORALEJA
LA MORALEJA,LA GRANJA
LA GRANJA,RONDA DE LA COMUNICACION
RONDA DE LA COMUNICACION,LAS TABLAS
LAS TABLAS,MONTECARMELO
MONTECARMELO,TRES OLIVOS
TRES OLIVOS,Fuencarral
Fuencarral,BEGOÑA
BEGOÑA,CHAMARTIN
CHAMARTIN,PLAZA DE CASTILLA
PLAZA DE CASTILLA,CUZCO
CUZCO,SANTIAGO BERNABEU
SANTIAGO BERNABEU,NUEVOS MINISTERIOS
NUEVOS MINISTERIOS,GREGORIO MARAÑON
GREGORIO MARAÑON,ALONSO MARTINEZ
ALONSO MARTINEZ,TRIBUNAL
TRIBUNAL,PLAZA DE ESPAÑA
PLAZA DE ESPAÑA,PRINCIPE PIO
PRINCIPE PIO,LAGO
LAGO,BATAN
BATAN,CASA DE CAMPO
CASA DE CAMPO,COLONIA JARDIN
COLONIA JARDIN,AVIACION ESPAÑOLA
AVIACION ESPAÑOLA,CUATRO VIENTOS
CUATRO VIENTOS,JOAQUIN VILUMBRALES
JOAQUIN VILUMBRALES,PUERTA DEL SUR
PLAZA ELIPTICA,ABRANTES
ABRANTES,PAN BENDITO
PAN BENDITO,San Francisco
San Francisco,CARABANCHEL ALTO
CARABANCHEL ALTO,LA PESETA
LA PESETA,LA FORTUNA
PUERTA DEL SUR,PARQUE LISBOA
PARQUE LISBOA,ALCORCON CENTRAL
ALCORCON CENTRAL,PARQUE OESTE
PARQUE OESTE,UNIVERSIDAD REY JUAN CARLOS
UNIVERSIDAD REY JUAN CARLOS,MOSTOLES CENTRAL
MOSTOLES CENTRAL,PRADILLO
PRADILLO,HOSPITAL DE MOSTOLES
HOSPITAL DE MOSTOLES,Manuela Malasaña
Manuela Malasaña,LORANCA
LORANCA,HOSPITAL DE FUENLABRADA
HOSPITAL DE FUENLABRADA,PARQUE EUROPA
PARQUE EUROPA,FUENLABRADA CENTRAL
FUENLABRADA CENTRAL,PARQUE DE LOS ESTADOS
PARQUE DE LOS ESTADOS,ARROYO CULEBRO
ARROYO CULEBRO,CONSERVATORIO
CONSERVATORIO,ALONSO DE MENDOZA
ALONSO DE MENDOZA,GETAFE CENTRAL
GETAFE CENTRAL,JUAN DE LA CIERVA
JUAN DE LA CIERVA,EL CASAR
EL CASAR,LOS ESPARTALES
LOS ESPARTALES,EL BERCIAL
EL BERCIAL,EL CARRASCAL
EL CARRASCAL,JULIAN BESTEIRO
JULIAN BESTEIRO,CASA DEL RELOJ
CASA DEL RELOJ,HOSPITAL SEVERO OCHOA
HOSPITAL SEVERO OCHOA,LEGANES CENTRAL
LEGANES CENTRAL,SAN NICASIO
SAN NICASIO,PUERTA DEL SUR
OPERA,PRINCIPE PIO
