soucre,destination,name_source
par_4_52,par_4_127,ARGÜELLES
par_4_127,par_4_128,PRINCIPE PIO
par_4_128,par_4_129,PUERTA DEL ANGEL
par_4_129,par_4_130,ALTO DE EXTREMADURA
par_4_296,par_4_292,HOSPITAL DEL HENARES
par_4_292,par_4_291,HENARES
par_4_291,par_4_290,JARAMA
par_4_290,par_4_289,SAN FERNANDO
par_4_289,par_4_288,LA RAMBLA
par_4_288,par_4_287,COSLADA CENTRAL
par_4_287,par_4_286,BARRIO DEL PUERTO
par_4_286,par_4_132,ESTADIO METROPOLITANO
par_4_132,par_4_133,LAS MUSAS
par_4_133,par_4_134,SAN BLAS
par_4_134,par_4_135,SIMANCAS
par_4_135,par_4_136,GARCIA NOBLEJAS
par_4_136,par_4_78,ASCAO
par_4_78,par_4_138,PUEBLO NUEVO
par_4_138,par_4_139,BARRIO DE LA CONCEPCION
par_4_139,par_4_140,PARQUE DE LAS AVENIDAS
par_4_140,par_4_64,CARTAGENA
par_4_64,par_4_142,AVENIDA DE AMERICA
par_4_142,par_4_143,GREGORIO MARAÑON
par_4_143,par_4_41,ALONSO CANO
par_4_41,par_4_145,CANAL
par_4_145,acc_4_52_154,ISLAS FILIPINAS
acc_4_52_154,par_4_147,Guzmán el Bueno
par_4_147,par_4_148,FRANCOS RODRIGUEZ
par_4_148,par_4_149,VALDEZARZA
par_4_149,par_4_150,ANTONIO MACHADO
par_4_150,par_5_63,PEÑAGRANDE
par_5_63,par_4_152,PUERTO NAVACERRADA
par_4_152,par_4_153,LACOMA
par_4_153,par_4_154,ARROYOFRESNO
par_4_120,par_4_156,NUEVOS MINISTERIOS
par_4_156,par_4_258,COLOMBIA
par_4_258,par_4_71,PINAR DEL REY
par_4_71,par_4_158,MAR DE CRISTAL
par_4_158,par_4_159,FERIA DE MADRID
par_4_159,par_4_160,AEROPUERTO T1 T2 T3
par_4_160,par_4_285,BARAJAS
par_4_345,acc_4_109_295,PACO DE LUCIA
acc_4_109_295,par_4_161,Mirasierra
par_4_161,par_4_162,HERRERA ORIA
par_4_162,par_4_163,BARRIO DEL PILAR
par_4_163,par_4_1,VENTILLA
par_4_1,par_4_165,PLAZA DE CASTILLA
par_4_165,par_4_166,DUQUE DE PASTRANA
par_4_166,par_4_156,PIO XII
par_4_156,par_4_168,COLOMBIA
par_4_168,par_4_169,CONCHA ESPINA
par_4_169,par_4_64,CRUZ DEL RAYO
par_4_64,par_4_83,AVENIDA DE AMERICA
par_4_83,par_4_31,NUÑEZ DE BALBOA
par_4_31,par_4_173,PRINCIPE DE VERGARA
par_4_173,par_4_114,IBIZA
par_4_114,par_4_175,SAINZ DE BARANDA
par_4_175,par_4_176,ESTRELLA
par_4_176,par_4_177,VINATEROS
par_4_177,par_4_178,ARTILLEROS
par_4_178,par_4_179,PAVONES
par_4_179,par_4_180,VALDEBERNARDO
par_4_180,par_4_181,VICALVARO
par_4_181,par_4_182,SAN CIPRIANO
par_4_182,par_4_183,PUERTA DE ARGANDA
par_4_183,par_4_300,RIVAS URBANIZACIONES
par_4_300,par_4_184,RIVAS FUTURA
par_4_184,par_4_185,RIVAS VACIAMADRID
par_4_185,par_4_186,LA POVEDA
par_4_284,par_4_283,HOSPITAL INFANTA SOFÍA
par_4_283,par_4_282,REYES CATOLICOS
par_4_282,par_4_281,BAUNATAL
par_4_281,par_4_280,MANUEL DE FALLA
